file,source_version,group_index,family,stage,semantic_keys,descriptors,dxbc_sha256,raw_hlsl_sha256,selection_reason
raw-reference/g017-ImageSpace-ISDepthOfField-PS-1.7-4D87A8E3FBD7204D.hlsl,1.7,17,ImageSpace::ISDepthOfField,PS,17|PS|0,0x00000000,4D87A8E3FBD7204D766155B2CF8ACCD01953F972E6F63EDD06CBC8C7A384E3FA,3221C4A43265A42B340FD8E321891B757B59AE93EB07AFE88A63DDA0273E38D1,authoritative implemented image-space algorithm
raw-reference/g071-ImageSpace-ISDepthOfFieldMaskedFogged-PS-1.7-543880519764514B.hlsl,1.7,71,ImageSpace::ISDepthOfFieldMaskedFogged,PS,71|PS|0,0x00000000,543880519764514B40A99C1B3B3FB49396E1E9E9844D814C87B9F7E4B4E12CB6,673E3DD3872B4FE90CE94762D5E9AAC83A6704A21F1FEFAEBCE91D092741C1B1,authoritative implemented image-space algorithm
raw-reference/g002-Grass-PS-1.7-5F20CFA3E7D50E25.hlsl,1.7,2,Grass,PS,2|PS|0;2|PS|1;2|PS|2;2|PS|3;2|PS|4;2|PS|5;2|PS|6,0x00000000;0x00000001;0x00000002;0x00000003;0x00000004;0x00000005;0x00000006,5F20CFA3E7D50E25177968444FBBF0CCBC9740ADB07F8D1787637F9075A3D808,8515026770925AFFE972712C8E5A046710ADE2205113D1C7891A631B1FB523A8,RunGrass authoritative algorithm
raw-reference/g007-Utility-PS-1.7-635CF5E5CB21CAED.hlsl,1.7,7,Utility,PS,7|PS|4464642,0x00442002,635CF5E5CB21CAEDA2B06AC8F90ED513F55317C89ABAAA9152A5EA3B7F5824BC,CF41474373B4943AC9C8064D946188A93297A9D5E24CF3D5E28BBC1767D61364,added Utility catalog-key evidence
raw-reference/g007-Utility-PS-1.7-6919A2F73121ACBA.hlsl,1.7,7,Utility,PS,7|PS|2367490,0x00242002,6919A2F73121ACBAB6C03FE6F3CA2D68BB57E31164447CA201A9BE4CD33DE780,7E88CA70048F732E44FCF5EE34D9D35F941F7436B02E33FCD1E22968C989DACC,added Utility catalog-key evidence
raw-reference/g007-Utility-PS-1.7-952961B1153CAA32.hlsl,1.7,7,Utility,PS,7|PS|4727042;7|PS|5251330,0x00482102;0x00502102,952961B1153CAA328C2960E6167CB6BDF4E8B397A27A26B5BAB09C500159258C,372D72087CF2A54677DB72A802CC95A5674BD76B74B91BDFCC0307F2A0A55ABE,added Utility catalog-key evidence
raw-reference/g007-Utility-PS-1.7-A124FFD821A8B4D5.hlsl,1.7,7,Utility,PS,7|PS|8658946,0x00842002,A124FFD821A8B4D57DC1E23C19B85E1F62CA8A2A763A02050A8C1E50229FF171,98E045A55B962D858F9BD5211797EAEDDF62D88557601DF6ECF9BDA3539C0E3E,added Utility catalog-key evidence
raw-reference/g002-Grass-PS-1.7-A6B3580D56B3120F.hlsl,1.7,2,Grass,PS,2|PS|65543;2|PS|65544;2|PS|7;2|PS|8,0x00000007;0x00000008;0x00010007;0x00010008,A6B3580D56B3120FC1155528C2AF5B29DA7DCA88B7D0878C24D50CEDCCE0DA0F,9112976119093D315788F7E63E3C0562EBDA7FE9F34F46BFB10577C4BC4703B6,RunGrass authoritative algorithm
raw-reference/g006-Lighting-PS-1.7-B408E36E3C9188DB.hlsl,1.7,6,Lighting,PS,6|PS|1,0x00000001,B408E36E3C9188DB139E29A48EC7A31E0FDF1538B9C5168EE754C1A2EBA5F504,9B3BA6613AA417E9FF26ADF96EDFABB7C42056B008D04DAC3468232D0139C805,representative authoritative Lighting MRT algorithm
raw-reference/g114-ImageSpace-ISMinify-PS-1.7-B7561A8B052319DA.hlsl,1.7,114,ImageSpace::ISMinify,PS,114|PS|0,0x00000000,B7561A8B052319DAE3E148E744558307999FAE99D9254824B2082BA0BBD1E891,59BE3BE32E6A5856E6E2452CC054A4E63C22C4715B4BADFC39758DA3E1BB851E,authoritative implemented image-space algorithm
raw-reference/g007-Utility-PS-1.7-C4CBAD093C60E31F.hlsl,1.7,7,Utility,PS,7|PS|2629890;7|PS|3154178,0x00282102;0x00302102,C4CBAD093C60E31F5408842D3FBBA1A7DE14268059E425723326785456C3D80D,6A30300516BDBF4C1CA4B95B0D3C31094600497B5207C9230D76B9DD016BD1ED,added Utility catalog-key evidence
raw-reference/g022-ImageSpace-ISRadialBlur-PS-1.7-C6E65D94A0953212.hlsl,1.7,22,ImageSpace::ISRadialBlur,PS,22|PS|0,0x00000000,C6E65D94A0953212392C3785AE926EB7123C6656B7CE968EC19BB330DE3D4140,9CEF9D32FF9A7ABD7F481CE9D0FCFDEF4F0E2D1DE9589C3DD0B5DDDE1DDC5575,authoritative implemented image-space algorithm
raw-reference/g070-ImageSpace-ISDepthOfFieldFogged-PS-1.7-C80713FDCC9E1868.hlsl,1.7,70,ImageSpace::ISDepthOfFieldFogged,PS,70|PS|0,0x00000000,C80713FDCC9E1868CA4EEDBC855D3170808B2955B388A5AA40F940B069B1F484,87FBB6769C38B783D35D3464AD7EA566E22259215439DEF462BE0744B460C246,authoritative implemented image-space algorithm
raw-reference/g007-Utility-PS-1.7-DCEFE826B78322B5.hlsl,1.7,7,Utility,PS,7|PS|4726786;7|PS|5251074,0x00482002;0x00502002,DCEFE826B78322B5612026134BDF2F6335D5881AE765C14B2E57B602E46C136B,53CD78D77504EB7258788110E6C2597A566BA90DA74135F0D2A7091090B834F5,added Utility catalog-key evidence
raw-reference/g007-Utility-PS-1.7-DD2F2FA057688524.hlsl,1.7,7,Utility,PS,7|PS|4464898,0x00442102,DD2F2FA057688524AC484714B782AB47A5B3EB6CFA2BDD722C3D19658BD2079B,0C381115F7C34D90EDFCD6E78ED8A527036B827EA760E9ADA1B9A11AD5D697E5,added Utility catalog-key evidence
raw-reference/g007-Utility-PS-1.7-E0C7E911DAAB71C4.hlsl,1.7,7,Utility,PS,7|PS|8921090;7|PS|9445378,0x00882002;0x00902002,E0C7E911DAAB71C476AA0E3FC4BE6589E017C572E35FFC4B7FBC492AE4A1C624,A9B51F5F20F8BD35D8CCE41AFD2445513667AF6D675A1299EAE7FBDB7D68FDD1,added Utility catalog-key evidence
raw-reference/g002-Grass-VS-1.7-E9B7DAF3F150DD73.hlsl,1.7,2,Grass,VS,2|VS|65543;2|VS|65544;2|VS|7;2|VS|8,0x00000007;0x00000008;0x00010007;0x00010008,E9B7DAF3F150DD7360EE42B0D56F1644A6CF11B15F58A1208FACFF18A961D573,5402A460B92039A275501BF4198CBE2B45A3A3E9D0C9A43CEF548BC1F51389FD,RunGrass authoritative algorithm
raw-reference/g073-ImageSpace-ISDistantBlurMaskedFogged-PS-1.7-E9D057A67207CD96.hlsl,1.7,73,ImageSpace::ISDistantBlurMaskedFogged,PS,73|PS|0,0x00000000,E9D057A67207CD961795245B4E5ECF1F475514C8D4FE91A193B2C58F9259AD6E,711288763F887A0FB161B511F8A585D592F206C9444A832C4AFD5BD7F9CE37A6,authoritative implemented image-space algorithm
raw-reference/g018-ImageSpace-ISDistantBlur-PS-1.7-EBE1A9921341A4B4.hlsl,1.7,18,ImageSpace::ISDistantBlur,PS,18|PS|0,0x00000000,EBE1A9921341A4B46F5758F62DE1F6A2E1916D483929E1809114ED54EAF67702,B3F8098C9B1A952304A1895B1F16D74B7C7DB1AEE5B44C0AE46126FBCE79BDCD,authoritative implemented image-space algorithm
raw-reference/g015-ImageSpace-ISDoubleVision-PS-1.7-F758CA68CEB20486.hlsl,1.7,15,ImageSpace::ISDoubleVision,PS,15|PS|0,0x00000000,F758CA68CEB20486546078939293E5BBF890A71857A7C522971988ABB8CFD806,D2F52041562A13C1C7253A549F32D394594C34B1928318509A6A63AE3D8D13E9,authoritative implemented image-space algorithm
raw-reference/g007-Utility-PS-1.7-FA84C75EC33E992D.hlsl,1.7,7,Utility,PS,7|PS|2629634;7|PS|3153922,0x00282002;0x00302002,FA84C75EC33E992D090654C5265DB227D0049F6226F11F21923F02470DA9324B,F7FCE91F663D4ABDF4CC621E842B03465ED3D8675EDABB8B690A64F0CC03A43D,added Utility catalog-key evidence
