key,status,group_index,family,imagespace_enum,imagespace_class,stage,descriptor_hex,dxbc_sha256_1_6,raw_hlsl_sha256_1_6,contract_sha256_1_6,dxbc_sha256_1_7,raw_hlsl_sha256_1_7,contract_sha256_1_7,canonical_source,source_disposition
6|PS|33714689,changed,6,Lighting,,,PS,0x02027201,866CB4EE82AFED9E1B7571672EF98F3EF0B6324AF38BE356BEF6874FD3C26BDE,E177E40884A5A6D4447FC59A6CFA6FE33C992DBD8260DA3EC7515606192500C7,E17761371BAC999A7D81D7318E3BC219E900884381945FFB2CA17B11477B897D,9FECCD20D5FF02F4B751A3C6FD9B7818401B33E89D2E42242E2E412A25256DDB,EF1850A51268CF070B1FB56DD5EDCC7395CFED7A187DFA9D60E0AC33FFE45E29,E17761371BAC999A7D81D7318E3BC219E900884381945FFB2CA17B11477B897D,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
6|PS|33718273,changed,6,Lighting,,,PS,0x02028001,A2C22EFE333B7E85EAB5FACB81D26476244FDF86634F8E777F2F68842E3E3C63,5789CACCCDC0A9CED963AAC5C4620318DB824A40C32A148E3656828C2D203019,C7B91F98EC126503263AA9CD40E02A7A58A33339EE3BAA2528CA1F1FF96A3800,69853E322250D98253B45CB88CC9EEC4395FB30BD2B138A396BBF5AA97DF6EC4,28B13D0A9BA6898BAE37977F41B468D6607EBFC310D42D80E8080C0360C9E47C,C7B91F98EC126503263AA9CD40E02A7A58A33339EE3BAA2528CA1F1FF96A3800,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
6|PS|33718785,changed,6,Lighting,,,PS,0x02028201,340A9EF9D4AF453A56CD55C832D4FA34A4054F27336EB3293E97628382253644,0BC06574BF7E7EA690BDB22349441838A5871E329F252B10D1377F783E8CEBEB,C7B91F98EC126503263AA9CD40E02A7A58A33339EE3BAA2528CA1F1FF96A3800,12818CD3197057CAC626A8DC26A9408439151501D4D08641C442F670BCC010B2,8D2F27374D372F839C1E295ACA89FD8C8DBAB78EF670E3D394D0CC42AB91A4C9,C7B91F98EC126503263AA9CD40E02A7A58A33339EE3BAA2528CA1F1FF96A3800,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
6|PS|33734657,changed,6,Lighting,,,PS,0x0202C001,9B4E8F2981DE35418799A457500DCF779D6CA88B8052DCFD1D664448CD5D2E77,B2D01616809796112CBA4E2ADE9EB7077D32D4D64374AD341B7AF5C7FB9A589F,14415B76FAA7E49D6DC3578F4C351913E1E0A20A79D870F066F7D0346CD31FF6,A0992D137FB82380FA95B065C098B2C13C514531D02E6945EDE6CF97D075D207,F6FE0BC05EEDD5C57C0E3D1CBE169CBA18C8B4B3F81C65BFE9838401E4AD829D,14415B76FAA7E49D6DC3578F4C351913E1E0A20A79D870F066F7D0346CD31FF6,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
6|PS|33735169,changed,6,Lighting,,,PS,0x0202C201,B79DC4B613445C38E6E0EB61867FCC228D39ADCFD245E7EF679F84BC89F8D14B,26EE0DE92DDF18E641FC19E1D05C842F03EAFC469145F029E060EDC2D4870161,14415B76FAA7E49D6DC3578F4C351913E1E0A20A79D870F066F7D0346CD31FF6,401199DC05AB64693C56719670F8C00BA450527C53FB99C524DDF4AA726B1F8D,5C463FF2F08CE6A7A2726A8255508D1B27DC52AAD5450E1FE4164DFE8D51410B,14415B76FAA7E49D6DC3578F4C351913E1E0A20A79D870F066F7D0346CD31FF6,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
6|PS|33742849,changed,6,Lighting,,,PS,0x0202E001,819FACFCDFF6D9FA3E72EE5B30339401B69C5C352DF68DC501EFE3866A8D2B5D,E1927CA986285A6AB88C4E2F1DA0532EB0974FAFA07AE6EE71E32D2E7BCA371F,14415B76FAA7E49D6DC3578F4C351913E1E0A20A79D870F066F7D0346CD31FF6,D5E71D79A50D7A227E8E5F459EDB823C897C7420326F6D29D1D5AD9D6CDD8170,7E3EB725B04DDD2AFFB409FD1FD9779C8A4735EB133B89DBED8799B972A21DC3,14415B76FAA7E49D6DC3578F4C351913E1E0A20A79D870F066F7D0346CD31FF6,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
6|PS|33743361,changed,6,Lighting,,,PS,0x0202E201,DABA7BF99B913242669502E653ABD725AC8BD4C287173D1A12E333D1CC4BDC22,466F85CD04304D6650E8410F4DBF4D2166FD0DE85A7E61304844042A3E2087F8,14415B76FAA7E49D6DC3578F4C351913E1E0A20A79D870F066F7D0346CD31FF6,EBC1527F2A088C27EBC6B665B015A27860EEBC772820052DFDC2F56C84A89A3A,10869EE25C8520DFFFABDF107EC37DA0F10BCBDE1698F6F9EDAB8943F2A31E0E,14415B76FAA7E49D6DC3578F4C351913E1E0A20A79D870F066F7D0346CD31FF6,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
6|PS|34603009,changed,6,Lighting,,,PS,0x02100001,1767F254F54C030EED8B69663831168D86402D59C127D1BE6E6C7C61F85E7BE7,DB23124ADAB0C20B420003C34D3309A84797BBAE38D611AF6FCD2177CD93F36A,F92C770DF78DF433820A4228B5E948505D80782391E09B73AA00974C5ECEA64B,02DEE8A3CF583DADC2CC755B80DCC00C9C52F6E28D5EB53E17B1BE63EC9078C3,8D89C022B4E219D740D9CF77252BDDEE252AA8C63FDE475147724BBD62A9EE07,F92C770DF78DF433820A4228B5E948505D80782391E09B73AA00974C5ECEA64B,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
6|PS|34603521,changed,6,Lighting,,,PS,0x02100201,D3BAE7FF5E4AE867B10DF44ED18099DA2997FEDDFFAB55E3A0EC7A194FA191E0,239F0A10ADA81812FEB0A54D67B0AA597FE58D856723D23A32C5CABAB363CAF0,A0404909674D2E3C612B1B599FE619C4FC08D1E4E7F968DE9F6D1638E31E30CA,577B4FFF8A776AE79397D95319E9AF66CC3D2BB4C4EF420B1D358D2D750734D6,7B4F8EDC5D4FA564AB34FF8E827F482CE6444C6F99440DE1E924C7E2DC7BEB93,A0404909674D2E3C612B1B599FE619C4FC08D1E4E7F968DE9F6D1638E31E30CA,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
6|PS|34604033,changed,6,Lighting,,,PS,0x02100401,2E2F907BDDD87FCAEF5404CF19F3E373F56CB99969C6B3863CF06B52A7D65CA8,BD52D08BC9A602407A6C11CA8497056C7FF7937324E0E1C3A345E949BF6E35B1,0F78ADF682A9BEEC6EAC0A885DC5B7A7727B00FBBF376C911FD1AF3C7DB286E2,A66D9C1D9109979D50A154FB878B3541E9E3F47817550B76030DC227E2A23F56,E728D80C9A7369F3D22327B4413DB47676D184E4ACD57BB43FE993BD0F7E8582,0F78ADF682A9BEEC6EAC0A885DC5B7A7727B00FBBF376C911FD1AF3C7DB286E2,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
6|PS|34604545,changed,6,Lighting,,,PS,0x02100601,B4C6383171CD2EA5FC6A487CE21CA799E4833CA28965143F57EF48299E816576,8BA569D468CB815DF54A99DD600C2DC0201E7E5A5917BB412ADBA23A22F9A3CE,B9A171D96BEBDDC895D0C3529ECE2489CC8BC1E12C929D830595FBD019CBABE7,C6C16025D7BF16F4C9E00B48067ED9573DDEF4C470597421D1EBABE68A076FF4,DF0468492DADD908CA23C883DD1D2616E96EC7AF673AF850D9208C9DD7109AC2,B9A171D96BEBDDC895D0C3529ECE2489CC8BC1E12C929D830595FBD019CBABE7,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
6|PS|34605057,changed,6,Lighting,,,PS,0x02100801,0483729389286D58582BF0EE5D706992A3E3FE592BC2743B52262D246BCC91B8,A846C197545FC6905E4D9D81A9C9CBD39F2E5EBE4BA2EFEE2550F9F133E590E2,B9A171D96BEBDDC895D0C3529ECE2489CC8BC1E12C929D830595FBD019CBABE7,38C4E907590436D17AC94319207EEFB843A97ACAA99EFE5FB5F39464D427E67C,7C963E99DBBB96E5973CF7BFF90CDBF64BB651D3209D9548C15AFE126AA89DD9,B9A171D96BEBDDC895D0C3529ECE2489CC8BC1E12C929D830595FBD019CBABE7,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
6|PS|34605569,changed,6,Lighting,,,PS,0x02100A01,A252517FA5247C69A5002516D866181C5D8330D16DDD24B38CBF76A662FFE852,A8592EDA62A011C1E75D9E17DFEA2F1CC609507921DB3433DB92BA685AEF6806,B9A171D96BEBDDC895D0C3529ECE2489CC8BC1E12C929D830595FBD019CBABE7,0501387D3AC0E37D25E1251E4DDA699DB311295D25D9D2CE30A04608D0721A55,293B5EC2E7E05F5DB00A29F27261AAD133821CD380679357B5FDD891441AC962,B9A171D96BEBDDC895D0C3529ECE2489CC8BC1E12C929D830595FBD019CBABE7,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
6|PS|34607105,changed,6,Lighting,,,PS,0x02101001,1C43C983CDFF87F4DE55E5D76C05F28C06C852AED3841B3C9ABEC6717EB8932D,66ED4E8CA40C662859C62E2BC11768F3443FBC8D015539D9E21171E38EDCB755,17906F64B4A4D7D20A5B3D85B5952EB915348FBC18E0931AEB4114BF05314188,494F9CD35CBD4FC4B3A2295D878F2F2B8ADD944ED7D3CB709F93D9A102226B18,7453954DE879DF947644DE249B1BA4CDEF93E08E662A3BE82DD98012C6FA75AC,17906F64B4A4D7D20A5B3D85B5952EB915348FBC18E0931AEB4114BF05314188,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
6|PS|34607617,changed,6,Lighting,,,PS,0x02101201,CAE75530DF6161B2DC1954F847C53157CA0BA5C120482F871671453B941E5A15,D334E268DEEF13DA163046E91614D4F7861F85E253EC9B9140CE7010D5445CCC,F046744B1DB54FF97D5E2AD804E47F18157B9576856B845A967973C85DAA3FE7,799A9C1DE16C73324DBCEA1F589369762899FA702016CE4B088DF0A67471135A,FE93666C11A534E839DFECECB563599E82768E640AEEB6B399D62D532F64543E,F046744B1DB54FF97D5E2AD804E47F18157B9576856B845A967973C85DAA3FE7,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
